y,month_num,season,race_grp,male_bin,age_num,age_z,crime_grp,borough,precinct,precinct_idx,frisked_bin,searched_bin,weapon_found_bin,firearm_bin,violent_bg_bin,known_weapon_bin,self_init
1,1,Winter,Black,1,24.0,-0.33651197,Property/Theft,Queens,109,67,1,1,1,0,1,0,0
0,1,Winter,Black Hispanic,1,18.0,-0.8539634,Violence,Bronx,44,27,1,1,0,0,1,0,0
1,1,Winter,Black,1,19.0,-0.7677215,Property/Theft,Brooklyn,67,40,1,1,0,0,1,0,0
1,1,Winter,Black,1,17.0,-0.9402053,Property/Theft,Brooklyn,67,40,1,1,0,0,1,0,0
1,1,Winter,Black,1,17.0,-0.9402053,Property/Theft,Brooklyn,67,40,1,1,0,0,1,0,0
0,1,Winter,Black,1,39.0,0.95711654,Property/Theft,Brooklyn,88,55,0,0,0,0,0,0,0
1,1,Winter,Black,1,29.0,0.094697535,Violence,Manhattan,14,8,1,1,0,0,0,0,0
1,1,Winter,Black,1,58.0,2.5957127,Violence,Manhattan,28,18,0,0,0,0,0,0,0
0,1,Winter,White,1,31.0,0.26718134,Violence,Manhattan,28,18,1,0,1,0,1,0,0
0,1,Winter,Black,1,34.0,0.52590704,Violence,Manhattan,28,18,0,0,0,0,0,0,0
0,1,Winter,Black,1,20.0,-0.6814796,Weapon,Bronx,40,23,1,1,1,0,0,0,1
0,1,Winter,Black,1,18.0,-0.8539634,Weapon,Bronx,40,23,1,0,0,0,0,0,1
1,1,Winter,White Hispanic,1,45.0,1.474568,Violence,Bronx,41,24,0,1,0,0,0,0,0
0,1,Winter,Black,1,53.0,2.164503,Property/Theft,Bronx,42,25,1,0,0,0,1,0,0
0,1,Winter,Black,1,30.0,0.18093944,Weapon,Bronx,43,26,1,0,0,0,0,0,1
0,1,Winter,Black,1,22.0,-0.5089958,Weapon,Bronx,47,30,1,1,0,0,0,0,1
1,1,Winter,Black,1,18.0,-0.8539634,Weapon,Bronx,48,31,0,1,1,1,0,0,1
0,1,Winter,White Hispanic,1,17.0,-0.9402053,Weapon,Bronx,48,31,1,1,0,0,0,0,1
0,1,Winter,White Hispanic,1,22.0,-0.5089958,Weapon,Bronx,49,32,1,0,0,0,0,0,1
1,1,Winter,Black,1,17.0,-0.9402053,Property/Theft,Brooklyn,60,35,1,1,0,0,1,0,0
1,1,Winter,Black,1,17.0,-0.9402053,Property/Theft,Brooklyn,60,35,1,1,0,0,1,1,0
0,1,Winter,Black,1,17.0,-0.9402053,Property/Theft,Brooklyn,60,35,1,1,0,0,1,1,0
0,1,Winter,White,1,18.0,-0.8539634,Weapon,Brooklyn,70,43,1,0,0,0,0,0,1
0,1,Winter,White,1,18.0,-0.8539634,Weapon,Brooklyn,70,43,1,0,0,0,0,0,1
0,1,Winter,Black,1,55.0,2.336987,Weapon,Brooklyn,71,44,1,1,0,0,0,0,1
0,1,Winter,Black,1,23.0,-0.42275387,Property/Theft,Brooklyn,88,55,0,0,0,0,0,0,0
1,1,Winter,Black,0,25.0,-0.25027007,Violence,Queens,101,59,0,1,0,0,0,0,0
0,1,Winter,White Hispanic,1,16.0,-1.0264472,Property/Theft,Queens,115,73,1,1,0,0,0,0,1
1,1,Winter,Black,1,29.0,0.094697535,Property/Theft,Manhattan,32,20,1,0,0,0,1,0,0
0,1,Winter,Black,1,25.0,-0.25027007,Weapon,Bronx,44,27,1,1,1,0,1,0,1
0,1,Winter,Black,1,25.0,-0.25027007,Weapon,Bronx,52,34,1,0,0,0,0,0,1
0,1,Winter,Black Hispanic,1,25.0,-0.25027007,Weapon,Bronx,52,34,1,1,0,0,1,0,1
0,1,Winter,Black,1,42.0,1.2158422,Weapon,Brooklyn,60,35,1,0,0,0,0,1,1
